,Delta,Imbalance,midprice,Timestamp
0,0,-1065.2605515047908,38812000.0,2022-05-20 14:15:50
1,0.5927460919160875,-5731.375561662018,38818000.0,2022-05-20 14:15:51
2,0.2080052739147089,-4479.932591594756,38818000.0,2022-05-20 14:15:52
3,-0.9865107695357145,-1260.2357116043568,38814000.0,2022-05-20 14:15:53
4,0.3832566185048466,-523.5692770928144,38811500.0,2022-05-20 14:15:54
5,-0.5880098221013399,-5276.24011195451,38883500.0,2022-05-20 14:15:56
6,-2.005422305259387,-634.8122732564807,38813000.0,2022-05-20 14:15:57
7,-0.7555274109638044,-634.8122732564807,38813000.0,2022-05-20 14:15:58
8,-0.2773968224756144,-525.5871130302548,38813500.0,2022-05-20 14:15:59
9,-0.10080062579729016,-585.8134997934103,38814500.0,2022-05-20 14:16:00
10,0.4976918502437251,-218.22856757044792,38820500.0,2022-05-20 14:16:01
11,0.18705233784292408,982.0796211734414,38821000.0,2022-05-20 14:16:02
12,0.6109732784761314,-4022.1766445338726,38836500.0,2022-05-20 14:16:03
13,-1.5669334663207297,-3164.200974956155,38836000.0,2022-05-20 14:16:04
14,-2.3554372208038115,-1536.0107049047947,38833000.0,2022-05-20 14:16:05
15,-1.5846778322435804,-5276.24011195451,38883500.0,2022-05-20 14:16:06
16,-1.107155371872553,-275.86377366632223,38842500.0,2022-05-20 14:16:07
17,-1.1253948245187968,5084.4019547998905,38847500.0,2022-05-20 14:16:08
18,-1.1126795743893552,3086.8194369748235,38854500.0,2022-05-20 14:16:10
19,-1.141186832036355,1342.0053455680609,38862000.0,2022-05-20 14:16:11
20,0.3055810541122746,8.982793636620045,38858000.0,2022-05-20 14:16:12
21,-1.6654365994704414,8.240227833390236,38854500.0,2022-05-20 14:16:13
22,-0.6108483350759636,-610.4397383853793,38861000.0,2022-05-20 14:16:14
23,-0.9519302536809853,-5276.24011195451,38883500.0,2022-05-20 14:16:15
24,-0.8823558830012155,-1737.3394867256284,38877000.0,2022-05-20 14:16:16
25,-1.5930358465511776,3089.4741801321507,38872500.0,2022-05-20 14:16:17
26,-1.3163978984815994,-710.850031286478,38878000.0,2022-05-20 14:16:18
27,0.05543114245314884,1233.354841351509,38890000.0,2022-05-20 14:16:19
28,1.285299638378346,2714.770786345005,38889000.0,2022-05-20 14:16:20
29,0.4715607125619332,2953.0578229799867,38889000.0,2022-05-20 14:16:21
30,1.4483644540035407,1811.3785046488047,38889000.0,2022-05-20 14:16:23
31,-0.007753855651958158,4661.129505760968,38888500.0,2022-05-20 14:16:24
32,-0.731193104491751,-898.8262267708778,38894000.0,2022-05-20 14:16:25
33,0.2690753104773078,-2181.9356147795916,38898500.0,2022-05-20 14:16:26
34,-1.6868486035903676,3031.6201251372695,38894000.0,2022-05-20 14:16:27
35,0.1122651775673314,608.3611889332533,38889500.0,2022-05-20 14:16:28
36,0.03599701696217367,728.167287543416,38889500.0,2022-05-20 14:16:29
37,-1.7737049847445647,-5276.24011195451,38883500.0,2022-05-20 14:16:30
38,-0.11852954832431709,-1198.610344953835,38889500.0,2022-05-20 14:16:31
39,0.683503850086959,-5158.701874040067,38883500.0,2022-05-20 14:16:32
40,-0.4879774006688011,-6173.216144956648,38883500.0,2022-05-20 14:16:33
41,-0.18681280885943555,-6173.216144956648,38883500.0,2022-05-20 14:16:34
42,0.6810259627067692,-6898.101355262101,38868500.0,2022-05-20 14:16:35
43,-1.5369885812296809,-3112.0575731173158,38850500.0,2022-05-20 14:16:37
44,-0.5764067707398695,313.67854380607605,38851000.0,2022-05-20 14:16:38
45,0.329756642253365,-7536.213531285524,38868000.0,2022-05-20 14:16:39
46,-1.8527431770578002,-9712.166630074382,38868500.0,2022-05-20 14:16:40
47,-1.2209907945751892,1012.7355442345142,38859000.0,2022-05-20 14:16:41
48,-1.7191823588675434,-2796.2594643756747,38860000.0,2022-05-20 14:16:42
49,-2.609986768010106,-5276.24011195451,38883500.0,2022-05-20 14:16:43
50,-1.4968447530536817,-1480.900274977088,38859500.0,2022-05-20 14:16:44
51,-0.5563598357748509,549.3708404228091,38860500.0,2022-05-20 14:16:45
52,-0.20311924147656032,1430.4843570291996,38861500.0,2022-05-20 14:16:46
53,-0.8133074077555152,-7381.217239014804,38874500.0,2022-05-20 14:16:47
54,-2.2751782330516592,-8020.385936334729,38876500.0,2022-05-20 14:16:48
55,-0.3373078104438777,-8185.194451324642,38876000.0,2022-05-20 14:16:49
56,-1.3578561473422572,-1706.3404194936156,38871000.0,2022-05-20 14:16:51
57,-1.945088627049051,286.30630633980036,38871500.0,2022-05-20 14:16:52
58,-1.2766477389586388,-29.833292208611965,38872500.0,2022-05-20 14:16:53
59,0.811466146742202,1512.494116820395,38873500.0,2022-05-20 14:16:54
60,-1.6953033992928253,158.93829441070557,38879500.0,2022-05-20 14:16:55
61,-0.07997597856192534,-5276.24011195451,38883500.0,2022-05-20 14:16:56
62,-1.2791176325208946,-1452.0351475402713,38884000.0,2022-05-20 14:16:57
63,-1.2255261130584172,-1167.5613066926599,38884000.0,2022-05-20 14:16:58
64,-0.9868628315201018,-1278.9794049188495,38884000.0,2022-05-20 14:16:59
65,0.918267510662337,-5276.24011195451,38883500.0,2022-05-20 14:17:00
66,-2.173816883924956,-2009.5814009532332,38883500.0,2022-05-20 14:17:01
67,-1.5595778949138877,-522.7218740358949,38882500.0,2022-05-20 14:17:02
68,-0.5584515461165702,-969.7909543961287,38883500.0,2022-05-20 14:17:04
69,0.3324297785878486,-492.948412835598,38884500.0,2022-05-20 14:17:05
